name,company,year,price,kms_driven,fuel_type,,
REVO V AT,TOYOTA,2019,6900000,24000,DIESEL,,
TUCSON AWD ULTIMATE,HYUNDAI,2021,6400000,3400,PETROL,,
SPORTAGE ALPHA,KIA,2021,4825000,6700,PETROL,,
BRV IVTEC S CVT,HONDA,2021,3620000,9000,PETROL,,
REVO G AT,TOYOTA,2019,6600000,32000,DIESEL,,
ELANTRA GLS ,HYUNDAI,2021,4210000,5600,PETROL,,
COROLLA ALTIS,TOYOTA,2021,3650000,6000,PETROL,,
CIAZ 1.4 AT,SUZUKI,2017,2275000,38000,PETROL,,
YARIS 1.3 AT,TOYOTA,2020,2800000,8000,PETROL,,
CIVIC 1.8 IVTEC,HONDA,2011,2450000,136000,PETROL,,
SPORTAGE AWD,KIA,2019,5375000,46000,PETROL,,
TUCSON FWD GLS SPORT,HYUNDAI,2020,5800000,27000,PETROL,,
CULTUS VXR,SUZUKI,2019,1975000,29000,PETROL,,
YARIS 1.5 AT,TOYOTA,2021,3350000,1300,PETROL,,
SORENTO 2.4 FWD,KIA,2021,,10000,PETROL,,
ALTO VXR AGS,SUZUKI,2019,1710000,34000,PETROL,,
YARIS 1.3 MT,TOYOTA,2020,2600000,13000,PETROL,,
YARIS 1.5 MT,TOYOTA,2020,3025000,13000,PETROL,,
FORTUNER 2.7,TOYOTA,2019,9250000,25000,PETROL,,
ELANTRA GLS ,HYUNDAI,2021,4225000,5000,PETROL,,
CULTUS VXL,SUZUKI,2014,1125000,117000,PETROL,,
CIVIC 1.5 TURBO,HONDA,2020,4800000,20000,PETROL,,
ALTO VXR,SUZUKI,2020,1575000,19000,PETROL,,
BRV IVTEC CVT,HONDA,2017,2700000,100000,PETROL,,
PICANTO 1.0 MT,KIA,2020,2075000,14200,PETROL,,
CIAZ 1.4 AT,SUZUKI,2017,2250000,50000,PETROL,,
REVO G MT,TOYOTA,2017,6350000,59000,DIESEL,,
CIAZ 1.4 MT,SUZUKI,2017,2300000,6000,PETROL,,
FORTUNER 2.7,TOYOTA,2018,9425000,23000,PETROL,,
ALTO VXR AGS,SUZUKI,2019,1740000,24700,PETROL,,
BRV IVTEC CVT,HONDA,2021,,8000,PETROL,,
PICANTO 1.0 AT,KIA,2019,2225000,14000,PETROL,,
COROLLA ALTIS GRANDE,TOYOTA,2021,4150000,4500,PETROL,,
SORENTO 2.4 AWD,KIA,2021,,6000,PETROL,,
CITY 1.3 AT,HONDA,2013,1850000,113000,PETROL,,
YARIS 1.3 MT,TOYOTA,2020,2600000,17000,PETROL,,
CITY 1.5 ASPIRE,HONDA,2015,2300000,74000,PETROL,,
ALTO VXR,SUZUKI,2019,1480000,42000,PETROL,,
BRV IVTEC CVT,HONDA,2018,3000000,45000,PETROL,,
FORTUNER 2.7,TOYOTA,2017,8900000,33000,PETROL,,
CIVIC 1.8 UG,HONDA,2019,3875000,38000,PETROL,,
COROLLA GLI,TOYOTA,2020,3150000,18000,PETROL,,
SPORTAGE FWD,KIA,2020,5100000,21000,PETROL,,
COROLLA ALTIS,TOYOTA,2020,3550000,9500,PETROL,,
SPORTAGE FWD,KIA,2020,5120000,18000,PETROL,,
REVO V AT,TOYOTA,2021,7225000,8500,DIESEL,,
CIAZ 1.4 MT,SUZUKI,2017,2175000,80000,PETROL,,
TUCSON FWD GLS SPORT,HYUNDAI,2021,6025000,9600,PETROL,,
FORTUNER 2.8 SIGMA,TOYOTA,2021,9175000,10000,DIESEL,,
TUCSON AWD ULTIMATE,HYUNDAI,2021,6325000,13000,PETROL,,
CULTUS AGS,SUZUKI,2017,1775000,49000,PETROL,,
FORTUNER 2.8 SIGMA,TOYOTA,2021,9175000,15000,DIESEL,,
CITY 1.5 MT,HONDA,2018,2450000,24500,PETROL,,
COROLLA ALTIS GRANDE,TOYOTA,2015,2700000,105000,PETROL,,
BRV IVTEC CVT,HONDA,2018,2980000,37000,PETROL,,
TUCSON FWD GLS SPORT,HYUNDAI,2021,6050000,10000,PETROL,,
REVO G MT,TOYOTA,2015,4500000,96000,DIESEL,,
REVO G AT,TOYOTA,2018,6525000,12000,DIESEL,,
CULTUS VXL,SUZUKI,2017,1600000,56000,PETROL,,
BRV IVTEC S CVT,HONDA,2017,2950000,64000,PETROL,,
ALTO VX,SUZUKI,2019,1500000,23000,PETROL,,
ALTO VXR AGS,SUZUKI,2017,1500000,63000,PETROL,,
CITY 1.3 MT,HONDA,2014,1750000,76000,PETROL,,
YARIS 1.5 MT,TOYOTA,2020,2975000,17000,PETROL,,
CULTUS VXR,SUZUKI,2021,1950000,8100,PETROL,,
YARIS 1.3 AT,TOYOTA,2020,2800000,13000,PETROL,,
CIVIC 1.5 TURBO,HONDA,2019,4325000,38000,PETROL,,
SORENTO 2.4 FWD,KIA,2021,,9200,PETROL,,
CIVIC 1.8 IVTEC,HONDA,2021,4400000,8600,PETROL,,
YARIS 1.5 AT,TOYOTA,2021,3350000,7000,PETROL,,
SPORTAGE AWD,KIA,2021,5725000,5600,PETROL,,
COROLLA ALTIS,TOYOTA,2017,2900000,39500,PETROL,,
ELANTRA GLS ,HYUNDAI,2021,4225000,5000,PETROL,,
CULTUS AGS,SUZUKI,2021,2375000,4500,PETROL,,
YARIS 1.3 MT,TOYOTA,2020,2550000,20000,PETROL,,
BRV IVTEC MT,HONDA,2019,2825000,30000,PETROL,,
ELANTRA GLS ,HYUNDAI,2021,4150000,10000,PETROL,,
ALTO VXR,SUZUKI,2019,1500000,20000,PETROL,,
CULTUS VXR,SUZUKI,2014,1050000,118000,PETROL,,
CITY 1.5 ASPIRE,HONDA,2012,1750000,127000,PETROL,,
PICANTO 1.0 AT,KIA,2019,2225000,16500,PETROL,,
CULTUS VXL,SUZUKI,2019,2050000,26000,PETROL,,
FORTUNER 2.8 SIGMA,TOYOTA,2019,8300000,23000,DIESEL,,
ALTO VXR,SUZUKI,2020,1575000,19000,PETROL,,
CITY 1.5 MT,HONDA,2020,2525000,11500,PETROL,,
CIAZ 1.4 AT,SUZUKI,2018,2375000,46000,PETROL,,
BRV IVTEC CVT,HONDA,2019,,17500,PETROL,,
COROLLA GLI,TOYOTA,2012,1700000,112000,PETROL,,
TUCSON AWD ULTIMATE,HYUNDAI,2020,6225000,12900,PETROL,,
CITY 1.5 ASPIRE,HONDA,2020,2950000,135000,PETROL,,
SORENTO 3.5 FWD,KIA,2021,,4800,PETROL,,
YARIS 1.3 MT,TOYOTA,2020,2575000,13000,PETROL,,
SPORTAGE FWD,KIA,2020,5100000,23000,PETROL,,
ELANTRA GLS ,HYUNDAI,2021,4150000,11000,PETROL,,
FORTUNER 2.7,TOYOTA,2019,9500000,17000,PETROL,,
PICANTO 1.0 MT,KIA,2020,2075000,37000,PETROL,,
YARIS 1.5 AT,TOYOTA,2020,3000000,14000,PETROL,,
ALTO VXR,SUZUKI,2019,1490000,41000,PETROL,,
CIVIC 1.5 TURBO,HONDA,2021,5500000,24000,PETROL,,
SORENTO 2.4 AWD,KIA,2013,,115000,PETROL,,
CITY 1.3 AT,HONDA,2015,2000000,69000,PETROL,,
PICANTO 1.0 AT,KIA,2020,2250000,5600,PETROL,,
COROLLA ALTIS GRANDE,TOYOTA,2018,3375000,37500,PETROL,,
SPORTAGE ALPHA,KIA,2019,4560000,37000,PETROL,,
CIAZ 1.4 AT,SUZUKI,2017,2225000,36000,PETROL,,
FORTUNER 2.8 SIGMA,TOYOTA,2017,7150000,35000,DIESEL,,
YARIS 1.3 AT,TOYOTA,2020,2875000,9000,PETROL,,
ELANTRA GLS ,HYUNDAI,2021,4130000,12600,PETROL,,
ALTO VXR AGS,SUZUKI,2021,1910000,12000,PETROL,,
PICANTO 1.0 AT,KIA,2021,2390000,700,PETROL,,
BRV IVTEC CVT,HONDA,2017,2780000,81000,PETROL,,
ALTO VX,SUZUKI,2017,1125000,62000,PETROL,,
CITY 1.5 ASPIRE,HONDA,2011,1575000,175000,PETROL,,
YARIS 1.5 MT,TOYOTA,2021,3050000,6500,PETROL,,
CIAZ 1.4 MT,SUZUKI,2020,2400000,12000,PETROL,,
REVO G AT,TOYOTA,2017,6550000,45000,DIESEL,,
SPORTAGE AWD,KIA,2020,5525000,21000,PETROL,,
CIVIC 1.8 UG,HONDA,2020,3950000,19000,PETROL,,
CITY 1.3 MT,HONDA,2017,2100000,27000,PETROL,,
TUCSON AWD ULTIMATE,HYUNDAI,2021,6450000,1200,PETROL,,
CITY 1.5 ASPIRE,HONDA,2021,3150000,4200,PETROL,,
BRV IVTEC MT,HONDA,2020,3145000,10000,PETROL,,
ELANTRA GLS SPORT,HYUNDAI,2021,4300000,10000,PETROL,,
ALTO VXR AGS,SUZUKI,2019,1725000,27000,PETROL,,
REVO G MT,TOYOTA,2020,6500000,21000,DIESEL,,
CIVIC 1.8 IVTEC,HONDA,2014,3175000,97000,PETROL,,
CIAZ 1.4 AT,SUZUKI,2020,2550000,7000,PETROL,,
YARIS 1.5 AT,TOYOTA,2021,3350000,2500,PETROL,,
ALTO VX,SUZUKI,2020,1390000,23000,PETROL,,
FORTUNER 2.7,TOYOTA,2021,10825000,2000,PETROL,,
SPORTAGE ALPHA,KIA,2020,4650000,27000,PETROL,,
BRV IVTEC S CVT,HONDA,2019,3365000,28000,PETROL,,
YARIS 1.3 AT,TOYOTA,2020,2900000,4500,PETROL,,
ELANTRA GLS ,HYUNDAI,2021,4175000,7800,PETROL,,
YARIS 1.3 MT,TOYOTA,2020,2575000,11000,PETROL,,
SORENTO 3.5 FWD,KIA,2021,,9000,PETROL,,
CIVIC 1.5 TURBO,HONDA,2017,3600000,65000,PETROL,,
ALTO VXR,SUZUKI,2012,820000,178000,PETROL,,
CULTUS VXL,SUZUKI,2017,1600000,48000,PETROL,,
TUCSON FWD GLS SPORT,HYUNDAI,2020,5875000,16000,PETROL,,
ELANTRA GLS ,HYUNDAI,2021,4200000,5600,PETROL,,
FORTUNER 2.8 SIGMA,TOYOTA,2017,7100000,70000,DIESEL,,
ALTO VXR,SUZUKI,2019,1520000,30000,PETROL,,
SPORTAGE ALPHA,KIA,2019,4580000,14700,PETROL,,
CITY 1.3 MT,HONDA,2011,1250000,1600000,PETROL,,
CITY 1.5 ASPIRE,HONDA,2018,2650000,25000,PETROL,,
SPORTAGE AWD,KIA,2019,5400000,25300,PETROL,,
REVO G AT,TOYOTA,2019,6675000,19000,DIESEL,,
ELANTRA GLS ,HYUNDAI,2021,4225000,3200,PETROL,,
ALTO VXR AGS,SUZUKI,2021,1825000,4000,PETROL,,
SORENTO 2.4 AWD,KIA,2021,,5600,PETROL,,
YARIS 1.5 MT,TOYOTA,2020,2900000,11500,PETROL,,
CULTUS VXR,SUZUKI,2018,1700000,36000,PETROL,,
SORENTO 2.4 FWD,KIA,2021,,13000,PETROL,,
CITY 1.3 AT,HONDA,2021,2775000,4500,PETROL,,
FORTUNER 2.8 SIGMA,TOYOTA,2018,7600000,40000,DIESEL,,
REVO V AT,TOYOTA,2019,6900000,26000,DIESEL,,
PICANTO 1.0 MT,KIA,2020,2075000,35000,PETROL,,
CIVIC 1.5 TURBO,HONDA,2018,3950000,34500,PETROL,,
CULTUS AGS,SUZUKI,2018,1775000,125000,PETROL,,
ALTO VX,SUZUKI,2021,1400000,9000,PETROL,,
CIAZ 1.4 MT,SUZUKI,2018,2425000,42000,PETROL,,
SPORTAGE FWD,KIA,2020,5145000,14600,PETROL,,
CULTUS VXR,SUZUKI,2020,1875000,18000,PETROL,,
BRV IVTEC CVT,HONDA,2018,2975000,42000,PETROL,,
COROLLA ALTIS GRANDE,TOYOTA,2019,382500,17000,PETROL,,
PICANTO 1.0 AT,KIA,2020,2150000,22600,PETROL,,
COROLLA ALTIS,TOYOTA,2017,2900000,46000,PETROL,,
CIVIC 1.8 UG,HONDA,2016,3200000,78000,PETROL,,
CITY 1.5 MT,HONDA,2018,2450000,46000,PETROL,,
CITY 1.3 MT,HONDA,2018,2300000,21000,PETROL,,
ELANTRA GLS ,HYUNDAI,2021,4100000,15000,PETROL,,
YARIS 1.3 MT,TOYOTA,2020,,11200,PETROL,,
CITY 1.5 ASPIRE,HONDA,2020,2950000,11000,PETROL,,
COROLLA GLI,TOYOTA,2013,1700000,92500,PETROL,,
COROLLA ALTIS,TOYOTA,2014,2200000,97000,PETROL,,
SORENTO 3.5 FWD,KIA,2021,,10000,PETROL,,
FORTUNER 2.7,TOYOTA,2018,9200000,40000,PETROL,,
TUCSON AWD ULTIMATE,HYUNDAI,2020,6225000,16700,PETROL,,
REVO G MT,TOYOTA,2017,6300000,73000,DIESEL,,
SORENTO 2.4 AWD,KIA,2021,,2000,PETROL,,
REVO V AT,TOYOTA,2017,6400000,64000,DIESEL,,
SPORTAGE ALPHA,KIA,2020,4725000,18000,PETROL,,
CIAZ 1.4 AT,SUZUKI,2018,2375000,34000,PETROL,,
TUCSON AWD ULTIMATE,HYUNDAI,2020,6225000,12000,PETROL,,
TUCSON FWD GLS SPORT,HYUNDAI,2020,5800000,24500,PETROL,,
YARIS 1.5 AT,TOYOTA,2020,3000000,21000,PETROL,,
ALTO VXR,SUZUKI,2018,1420000,40000,PETROL,,
CULTUS VXL,SUZUKI,2018,1800000,47000,PETROL,,
ELANTRA GLS ,HYUNDAI,2021,4225000,6000,PETROL,,
ALTO VXR,SUZUKI,2019,1475000,81000,PETROL,,
BRV IVTEC S CVT,HONDA,2017,2950000,68000,PETROL,,
PICANTO 1.0 AT,KIA,2019,2210000,24000,PETROL,,
SORENTO 2.4 FWD,KIA,2021,,7900,PETROL,,
SPORTAGE ALPHA,KIA,2019,4575000,35000,PETROL,,
CIVIC 1.5 TURBO,HONDA,2018,3900000,53000,PETROL,,
FORTUNER 2.8 SIGMA,TOYOTA,2019,9000000,10000,DIESEL,,
COROLLA ALTIS,TOYOTA,2019,3350000,23000,PETROL,,
ELANTRA GLS SPORT,HYUNDAI,2021,4200000,20500,PETROL,,
PICANTO 1.0 MT,KIA,2019,2000000,15700,PETROL,,
BRV IVTEC MT,HONDA,2018,2750000,46000,PETROL,,
BRV IVTEC S CVT,HONDA,2018,3090000,37500,PETROL,,
REVO G MT,TOYOTA,2020,6525000,23000,DIESEL,,
ALTO VXR AGS,SUZUKI,2018,1740000,46000,PETROL,,
COROLLA GLI,TOYOTA,2014,,79000,PETROL,,
SPORTAGE AWD,KIA,2020,5525000,14000,PETROL,,
YARIS 1.5 MT,TOYOTA,2021,3125000,12500,PETROL,,
TUCSON AWD ULTIMATE,HYUNDAI,2021,6400000,4800,PETROL,,
SPORTAGE ALPHA,KIA,2020,4675000,16000,PETROL,,
REVO G MT,TOYOTA,2016,4550000,105000,DIESEL,,
REVO G AT,TOYOTA,2018,6575000,45700,DIESEL,,
SPORTAGE FWD,KIA,2021,5300000,9300,PETROL,,
CULTUS AGS,SUZUKI,2021,2355000,7800,PETROL,,
CIVIC 1.8 UG,HONDA,2014,2775000,98500,PETROL,,
CIVIC 1.8 IVTEC,HONDA,2014,2925000,24000,PETROL,,
CIAZ 1.4 MT,SUZUKI,2019,2500000,22000,PETROL,,
CULTUS VXR,SUZUKI,2021,1950000,4700,PETROL,,
CIVIC 1.8 IVTEC,HONDA,2018,3850000,42000,PETROL,,
BRV IVTEC CVT,HONDA,2019,,27000,PETROL,,
CITY 1.5 ASPIRE,HONDA,2019,2725000,36500,PETROL,,
REVO V AT,TOYOTA,2018,6825000,42000,DIESEL,,
SPORTAGE ALPHA,KIA,2020,4650000,24000,PETROL,,
SORENTO 2.4 AWD,KIA,2021,,12000,PETROL,,
YARIS 1.5 MT,TOYOTA,2020,2925000,9500,PETROL,,
ALTO VX,SUZUKI,2020,1400000,9900,PETROL,,
CITY 1.3 AT,HONDA,2020,2700000,8000,PETROL,,
SPORTAGE AWD,KIA,2020,5350000,81000,PETROL,,
SORENTO 3.5 FWD,KIA,2021,,6300,PETROL,,
PICANTO 1.0 MT,KIA,2021,2200000,2000,PETROL,,
CITY 1.5 ASPIRE,HONDA,2015,2300000,78000,PETROL,,
TUCSON FWD GLS SPORT,HYUNDAI,2021,6125000,1000,PETROL,,
ELANTRA GLS SPORT,HYUNDAI,2021,4430000,3400,PETROL,,
COROLLA ALTIS GRANDE,TOYOTA,2019,3825000,21500,PETROL,,
FORTUNER 2.7,TOYOTA,2018,9400000,19000,PETROL,,
ELANTRA GLS SPORT,HYUNDAI,2021,4225000,17000,PETROL,,
PICANTO 1.0 AT,KIA,2019,2235000,11500,PETROL,,
SPORTAGE AWD,KIA,2019,5400000,26400,PETROL,,
CULTUS VXL,SUZUKI,2018,1820000,43000,PETROL,,
CIVIC 1.8 UG,HONDA,2021,4200000,7000,PETROL,,
CIVIC 1.8 IVTEC,HONDA,2021,4375000,4500,PETROL,,
FORTUNER 2.7,TOYOTA,2018,9325000,40000,PETROL,,
CITY 1.3 AT,HONDA,2012,1675000,92000,PETROL,,
CIAZ 1.4 AT,SUZUKI,2017,2075000,85000,PETROL,,
SPORTAGE ALPHA,KIA,2021,4840000,6500,PETROL,,
SORENTO 2.4 FWD,KIA,2021,,8000,PETROL,,
YARIS 1.3 MT,TOYOTA,2021,2750000,500,PETROL,,
CITY 1.5 ASPIRE,HONDA,2016,2400000,55000,PETROL,,
YARIS 1.3 AT,TOYOTA,2020,2850000,16000,PETROL,,
PICANTO 1.0 MT,KIA,2020,2050000,16000,PETROL,,
SPORTAGE FWD,KIA,2019,4925000,32700,PETROL,,
TUCSON AWD ULTIMATE,HYUNDAI,2021,6300000,14500,PETROL,,
REVO G MT,TOYOTA,2018,6400000,60000,DIESEL,,
CITY 1.5 MT,HONDA,2019,2500000,28000,PETROL,,
CULTUS VXL,SUZUKI,2018,1800000,69000,PETROL,,
SPORTAGE ALPHA,KIA,2019,4560000,38000,PETROL,,
BRV IVTEC MT,HONDA,2019,2820000,31000,PETROL,,
ELANTRA GLS SPORT,HYUNDAI,2021,4300000,12800,PETROL,,
BRV IVTEC MT,HONDA,2018,2710000,57000,PETROL,,
TUCSON FWD GLS SPORT,HYUNDAI,2021,6075000,8000,PETROL,,
YARIS 1.5 AT,TOYOTA,2020,3000000,16000,PETROL,,
ALTO VXR AGS,SUZUKI,2018,1420000,64000,PETROL,,
FORTUNER 2.8 SIGMA,TOYOTA,2019,9000000,14000,DIESEL,,
CULTUS VXR,SUZUKI,2018,1650000,78000,PETROL,,
ELANTRA GLS SPORT,HYUNDAI,2021,4275000,16000,PETROL,,
CIVIC 1.5 TURBO,HONDA,2016,3400000,68800,PETROL,,
COROLLA GLI,TOYOTA,2016,2550000,82500,PETROL,,
CIVIC 1.8 UG,HONDA,2016,3275000,92000,PETROL,,
SORENTO 2.4 AWD,KIA,2021,,6700,PETROL,,
SORENTO 3.5 FWD,KIA,2021,,7000,PETROL,,
COROLLA ALTIS,TOYOTA,2017,2850000,55000,PETROL,,
COROLLA ALTIS GRANDE,TOYOTA,2021,4150000,4500,PETROL,,
REVO G MT,TOYOTA,2019,6475000,34000,DIESEL,,
REVO G AT,TOYOTA,2018,6550000,39000,DIESEL,,
CIVIC 1.5 TURBO,HONDA,2016,3380000,62000,PETROL,,
YARIS 1.5 MT,TOYOTA,2021,3075000,6600,PETROL,,
CIAZ 1.4 MT,SUZUKI,2020,2400000,9000,PETROL,,
SORENTO 2.4 FWD,KIA,2021,,57000,PETROL,,
SORENTO 2.4 AWD,KIA,2021,,81000,PETROL,,
SORENTO 3.5 FWD,KIA,2021,,64000,PETROL,,
ELANTRA GLS SPORT,HYUNDAI,2021,4250000,24000,PETROL,,
BRV IVTEC CVT,HONDA,,,129000,PETROL,,
CITY 1.5 MT,HONDA,2019,2500000,33000,PETROL,,
COROLLA ALTIS,TOYOTA,2012,2000000,167000,PETROL,,
CIVIC 1.8 UG,HONDA,2021,4210000,4000,PETROL,,
CIVIC 1.8 PROSMATEC,HONDA,2021,4350000,6500,PETROL,,
CULTUS AGS,SUZUKI,,,42000,PETROL,,
YARIS 1.5 AT,TOYOTA,2020,3100000,3500,PETROL,,
CITY 1.3 MT,HONDA,2016,2025000,29000,PETROL,,
SPORTAGE FWD,KIA,2021,5240000,19000,PETROL,,
ALTO VX,SUZUKI,2019,1225000,20000,PETROL,,
REVO V AT,TOYOTA,2018,6800000,54000,DIESEL,,
TUCSON AWD ULTIMATE,HYUNDAI,2021,6400000,6700,PETROL,,
CITY 1.3 AT,HONDA,2014,2050000,36000,PETROL,,
FORTUNER 2.7,TOYOTA,2021,10200000,15000,PETROL,,
TUCSON FWD GLS SPORT,HYUNDAI,2021,6090000,4500,PETROL,,
REVO G AT,TOYOTA,2021,7100000,12000,DIESEL,,
BRV IVTEC S CVT,HONDA,,,42700,PETROL,,
FORTUNER 2.8 SIGMA,TOYOTA,2021,9200000,7000,DIESEL,,